date,product,category,region,sales,units,price,customer_rating
2024-01-01,Product A,Electronics,North,15000.50,100,150.00,4.5
2024-01-02,Product B,Home,South,8500.25,50,170.00,4.2
2024-01-03,Product C,Electronics,East,12000.75,80,150.00,4.7
2024-01-04,Product A,Electronics,West,18000.00,120,150.00,4.3
2024-01-05,Product D,Home,North,9500.50,55,172.73,4.1
2024-01-06,Product B,Home,South,9200.00,54,170.37,4.4
2024-01-07,Product C,Electronics,East,11000.25,73,150.69,4.6
2024-01-08,Product A,Electronics,West,16500.75,110,150.00,4.5
2024-01-09,Product E,Office,North,7500.00,60,125.00,4.0
2024-01-10,Product D,Home,South,8800.50,51,172.55,4.2
2024-01-11,Product B,Home,East,10500.25,62,169.36,4.3
2024-01-12,Product A,Electronics,North,14200.00,95,149.47,4.6
2024-01-13,Product C,Electronics,West,13500.75,90,150.00,4.4
2024-01-14,Product E,Office,South,8200.00,65,126.15,3.9
2024-01-15,Product D,Home,North,9900.50,57,173.69,4.1